,id_ucd,showroom_group
0,169,1
1,170,1
2,25,2
3,19,2
4,28,2
5,27,2
6,29,2
7,24,2
8,18,2
9,20,2
10,26,2
11,22,2
12,21,2
13,23,2
14,30,2
15,174,3
16,175,3
17,173,3
18,172,3
19,176,3
20,94,4
21,95,4
22,96,4
23,160,5
24,159,5
25,162,5
26,171,5
27,158,5
28,17,6
29,200,7
30,202,7
31,201,7
32,113,8
33,112,8
34,204,9
35,205,9
36,206,9
37,207,9
38,208,9
39,209,9
40,210,9
41,203,9
42,73,10
43,74,10
44,75,10
45,123,11
46,124,11
47,122,11
48,121,11
49,101,12
50,102,12
51,108,13
52,110,13
53,109,13
54,111,13
55,44,14
56,57,14
57,48,14
58,52,14
59,64,14
60,66,14
61,45,14
62,54,14
63,49,14
64,47,14
65,53,14
66,55,14
67,58,14
68,59,14
69,60,14
70,62,14
71,63,14
72,46,14
73,50,14
74,51,14
75,56,14
76,61,14
77,65,14
78,98,15
79,99,15
80,145,16
81,146,16
82,148,16
83,147,16
84,150,16
85,177,17
86,142,18
87,140,18
88,141,18
89,90,19
90,93,19
91,91,19
92,88,19
93,92,19
94,89,19
95,85,19
96,87,19
97,86,19
98,143,20
99,144,20
100,12,21
101,6,21
102,8,21
103,11,21
104,14,21
105,15,21
106,32,21
107,35,21
108,70,21
109,71,21
110,13,21
111,33,21
112,4,21
113,5,21
114,7,21
115,9,21
116,10,21
117,16,21
118,31,21
119,34,21
120,36,21
121,37,21
122,38,21
123,39,21
124,40,21
125,67,21
126,68,21
127,69,21
128,72,21
129,100,22
130,1,23
131,3,23
132,2,23
133,128,24
134,126,24
135,127,24
136,129,24
137,125,25
138,97,26
139,117,27
140,114,27
141,118,27
142,115,27
143,116,27
144,120,27
145,119,27
146,166,28
147,76,29
148,77,29
149,78,29
150,81,29
151,80,29
152,82,29
153,83,29
154,84,29
155,79,29
156,135,30
157,136,30
158,134,30
159,137,30
160,163,31
161,164,31
162,165,31
163,167,32
164,168,32
165,157,33
166,155,33
167,156,33
168,154,33
169,178,34
170,182,34
171,191,34
172,192,34
173,180,34
174,184,34
175,186,34
176,188,34
177,181,34
178,183,34
179,187,34
180,190,34
181,189,34
182,179,34
183,185,34
184,196,35
185,195,35
186,139,35
187,198,35
188,193,35
189,194,35
190,197,35
191,199,35
192,138,35
193,161,36
194,153,37
195,151,37
196,149,37
197,152,37
198,43,38
199,41,38
200,42,38
201,131,39
202,107,39
203,104,39
204,105,39
205,133,39
206,132,39
207,103,39
208,106,39
209,130,39
