,showroom_name,showroom_location,showroom_regency,showroom_group
0,ANGEL CARS,"Ps. Mobil Kemayoran, Jl. Industri Raya No.11, RW.10, Kemayoran, Kec. Kemayoran, Kota Jakarta Pusat",Jakarta Pusat,1
2,ARJUNA MOTOR DEALER MOBIL BEKAS,jln raya jatiwaringin no 2 pangkalan jati kalimalang Jakarta timur,Jakarta Timur,2
15,ASHENA MOBILINDO,"Jl. Pahlawan Revolusi No.2, Pd. Bambu, Kec. Duren Sawit, Kota Jakarta Timur",Jakarta Timur,3
20,BELLI AUTO CAR,"Pasar Mobil kemayoran Blok T no 8-9, RT.3/RW.6, Kemayoran, Kec. Kemayoran, Kota Jakarta Pusat",Jakarta Pusat,4
23,BEST MOBILINDO,"Jl. Industri Raya No.10, RW.10, Danau Sunter Dll, Kec. Pademangan, Kota Jkt Utara",Jakarta Utara,5
28,Baruna Motor,"Jl. RS. Fatmawati Raya No.79, RT.4/RW.4, Cilandak Bar., Jakarta, Kota Jakarta Selatan",Jakarta Selatan,6
29,DANS MOBILINDO,"Bursa WTC Mangga Dua, Jl. Mangga Dua Raya No.8, RW.5, Ancol, Kec. Pademangan, Jkt Utara",Jakarta Utara,7
32,DHL AUTOCARS,"Bursa Mobil, Mall WTC Matahari, Pd. Jagung, Kec. Serpong Utara, Kota Tangerang Selatan, Banten",Banten,8
34,ESCO AUTO,"Jl. BB No. 01 A RT.3/RW.8 Cipinang Muara, Jatinegara, Jakarta Timur",Jakarta Timur,9
42,FAMILY MOTOR 1,"Jl. I Gusti Ngurah Rai No.9, RT.12/RW.5, Cipinang Muara, Kecamatan Jatinegara, Kota Jakarta Timur",Jakarta Timur,10
45,FARREL MOTOR,"Pondok kelapa 2 blok A 8 no.35 jakarta timur Jakarta, RT.2/RW.4, Pd. Klp., Kec. Duren Sawit, Kota Jakarta Timur",Jakarta Timur,11
49,FAVOR AUTO,"bella terra, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara",Jakarta Utara,12
51,FORESTA MOTOR,"RT.001/RW.013, Panunggangan Bar., Kec. Cibodas, Kota Tangerang, Banten",Banten,13
55,GARAGE 88,"Jl.Radio 1 No.19, Kebayoran Baru, Jakarta Selatan",Jakarta Selatan,14
78,GARASI MOBILKU,"Jl. Gading Serpong Boulevard, Pakulonan Bar., Kec. Klp. Dua, Kabupaten Tangerang, Banten",Banten,15
80,HANS MOTOR,"Ruko WR, Jl. Imam Bonjol Blok A No.11-12, RT.002/RW.003, Sukajadi, Kec. Karawaci, Kota Tangerang, Banten 15115",Banten,16
85,JUARA MOBIL,"Bursa Mobil Bekas Tems Grand ITC Permata Hijau Lantai 5 Lot B.8, Jl. Arteri Permata Hijau No.11, RT.11/RW.10, Grogol Utara, Kec. Kby. Lama",Jakarta Selatan,17
86,KING AUTO CARS,"Jl. Pahlawan Revolusi No.6, RT.6/RW.12, Pd. Bambu, Kec. Duren Sawit, Kota Jakarta Timur",Jakarta Timur,18
89,MAJU JAYA MOTOR,"JL. Mangga Dua Raya, No. 8, RW.5, Ancol, Kec. Pademangan, Jkt Utara",Jakarta Utara,19
98,Martak Auto Boutique,"Jl Pahlawan Revolusi no 39A, Pondok Bambu Jakarta Timur",Jakarta Timur,20
100,Mirza Mobil,"Jl. I Gusti Ngurah Rai Jl. Kp. Sumur Utara No.80-81, RT.15/RW.17, Klender, Kec. Duren Sawit, Kota Jakarta Timur",Jakarta Timur,21
129,NOAH AUTO,"Bursa Mobil Sumarecon Blok G no 28, Curug Sangereng, Kec. Klp. Dua, Kabupaten Tangerang, Banten",Banten,22
130,O2 Auto,"Bintaro, Banten",Banten,23
133,PT.SURYA DARMA PERKAS,"Jl. Raya Daan Mogot No.km 1 no 99, RT.6/RW.5, Duri Kepa, Kec. Kb. Jeruk, Kota Jakarta Barat",Jakarta Barat,24
137,PT.SURYA DARMA PERKAS,"Jl. Pecenongan No.51, RT.9/RW.3, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat",Jakarta Pusat,25
138,RND AUTO,"Jl. Boulevard Raya Gading Serpong No.08, Curug Sangereng, Kec. Klp. Dua, Kabupaten Tangerang, Banten",Banten,26
139,SAUNG MOBIL,"Jl. Raya Serpong No.39, Pd. Jagung, Kec. Serpong Utara, Kota Tangerang Selatan, Banten",Banten,27
146,SECOND CARS 15,"JL. Pahlawan Revolusi no 8, Duren SawitJakarta Timur",Jakarta Timur,28
147,SILOAM MOBILINDO,"WTC Mangga Dua, Jl. Gn. Sahari No.8, RT.1/RW.13, Ancol, Kec. Pademangan, Jkt Utara",Jakarta Pusat,29
156,SPECTRUM MOTOR,"Bursa otomotif, Jl. Sunter Kirana Raya, RT.10/RW.11, Sunter Jaya, Tanjung Priok, JAKARTA UTARA",Jakarta Utara,30
160,SUKSES MOBILINDO 2,"Sebelah PT Panasonic, Jl. Raya Bogor No.Km. 28, Pekayon, Kec. Ps. Rebo",Jakarta Timur,31
163,SURYA ABADI MOTOR,"Jl. Pahlawan Revolusi No.8, RT.6/RW.12, Pd. Bambu, Kec. Duren Sawit, Kota Jakarta Timur",Jakarta Timur,32
165,THOR MOTOR,"Jl. Marsekal Suryadarma No.52, RT.003/RW.008, Neglasari, Kec. Neglasari, Kota Tangerang, Banten 15129",Banten,33
169,TIMUR JAYA MOBIL,"Jl. Angkasa No.Kav B6, RW.10, South Gunung Sahari, Kemayoran, Jakarta Pusat",Jakarta Pusat,34
184,TOKO MOBILKU,"Jl. Meruya Selatan No. 43, , Meruya Selatan, Kec. Kembangan, Jakarta Barat",Jakarta Barat,35
193,TOKO MOBILKU,"Jl. Industri Raya No.10, RW.10, Danau Sunter Dll, Kec. Pademangan, Kota Jkt Utara",Jakarta Utara,36
194,UNITY MOBILINDO,"Jl. Imam Bonjol No.88B, Karawaci, Kec. Karawaci, Kota Tangerang, Banten 15113",Banten,37
198,YANSA AUTO,"Jl. Boulevard Raya Gading Serpong No.2, Curug Sangereng, Banten,",Banten,38
201,ZUL GCR AUTO CARS,"Wtc Mangga Dua Jl. Raya Pantura No.8, Ancol, Kec. Pademangan, Jkt Utara",Jakarta Utara,39
